from,to,cost
9,153,310.6
153,62,330.9
62,111,332.9
111,11,324.2
11,28,336
28,169,133.7
138,135,354.7
135,133,387.9
133,163,337.1
163,20,352
20,19,420.8
19,14,351.3
14,39,340.2
39,164,350.3
164,167,365.2
167,70,359
70,59,388.2
59,58,305.7
58,67,294.4
67,66,299.5
66,55,313.3
55,53,332.1
53,150,278.9
150,61,308.4
61,64,311.4
64,63,243.6
47,65,372.8
65,48,319.4
48,49,309.7
49,54,320.5
54,56,318.3
56,57,297.9
57,68,293.5
68,69,342.5
69,60,318
60,17,305.9
17,5,321.4
5,18,402.2
18,22,447.4
22,30,377.5
30,29,417.7
29,21,360.8
21,132,407.6
132,134,386.9
134,136,350.2
123,121,326.3
121,140,385.2
140,118,393
118,96,296.7
96,94,398.2
94,86,337.1
86,78,473.8
78,46,353.4
46,152,385.7
152,157,350
157,35,354.4
35,77,356.1
77,52,354.2
52,3,357.8
3,16,382.4
16,0,55.7
42,12,335.1
12,139,328.8
139,168,412.6
168,154,337.3
154,143,370.7
143,10,6.3
107,105,354.6
105,104,386.9
104,148,362.1
148,97,316.3
97,101,380.7
101,137,361.4
137,102,365.5
102,24,375.5
24,166,312.2
129,156,256.1
156,33,329.1
33,32,356.5
91,89,405.6
89,147,347
147,15,351.7
15,44,339.5
44,41,350.8
41,43,322.6
43,100,338.9
100,83,347.9
83,87,327.2
87,88,321
88,75,335.8
75,51,384.8
51,73,391.1
73,71,289.3
31,155,260
155,34,320.4
34,128,393.3
145,115,399.4
115,112,328.1
112,8,469.4
